Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Chris Mepham,68,CB,Bournemouth,Premier League,WAL,65,26,48,57,67,70,3★,2★,H,H,0,0
Yangel Herrera,68,CDM,Manchester City,Premier League,VEN,57,53,60,64,68,72,3★,3★,M,M,0,0
Reece Oxford,68,CB,West Ham United,Premier League,ENG,69,33,54,59,66,68,3★,2★,M,M,150,10K
Achraf Lazaar,68,LB,Newcastle United,Premier League,MOR,65,58,66,72,65,64,3★,3★,H,H,300,10K
Konstantinos Mavropanos,68,CB,Arsenal,Premier League,GRE,56,33,42,44,69,72,2★,2★,M,M,,
Callum Hudson-Odoi,68,LW,Chelsea,Premier League,ENG,83,59,64,72,30,61,3★,3★,H,M,,
Emerson Hyndman,67,CM,Bournemouth,Premier League,USA,60,59,69,75,55,42,4★,3★,H,M,0,0
Dominic Iorfa,67,RB,Wolverhampton Wanderers,Premier League,ENG,87,31,58,60,63,75,2★,2★,H,M,250,10K
Phil Ofosu-Ayeh,67,RB,Wolverhampton Wanderers,Premier League,GHA,88,47,56,66,63,75,3★,3★,M,M,,
Luke Brattan,67,CDM,Manchester City,Premier League,AUS,66,61,70,67,56,72,3★,3★,M,M,0,0
Josh Sims,67,RW,Southampton,Premier League,ENG,81,60,60,72,31,48,3★,3★,H,M,0,0
Jake Hesketh,67,RM,Southampton,Premier League,ENG,66,51,68,72,40,43,3★,3★,H,L,0,0
Ovie Ejaria,67,CM,Liverpool,Premier League,ENG,72,58,68,72,46,64,3★,3★,H,M,0,0
Jake Hesketh,67,CAM,Southampton,Premier League,ENG,66,51,68,72,40,43,3★,3★,H,L,150,10K
Xande Silva,67,ST,West Ham United,Premier League,POR,78,62,58,72,27,56,3★,3★,H,M,150,10K
Matthew Pennington,67,CB,Everton,Premier League,ENG,64,33,53,51,68,67,3★,2★,M,M,150,10K
Kortney Hause,67,CB,Wolverhampton Wanderers,Premier League,ENG,61,45,56,54,66,71,3★,2★,M,M,150,10K
Brendan Galloway,67,LB,Everton,Premier League,ENG,74,38,57,59,65,65,3★,2★,M,M,150,10K
Ibrahima Cissé,67,CDM,Fulham,Premier League,BEL,70,47,59,63,66,72,3★,2★,M,M,150,10K
Fankaty Dabo,67,RB,Chelsea,Premier League,ENG,71,45,55,61,65,74,3★,2★,M,M,150,10K
Sullay Kaikai,67,LM,Crystal Palace,Premier League,ENG,76,63,62,72,27,50,3★,3★,M,L,150,10K
Soufyan Ahannach,67,LM,Brighton & Hove Albion,Premier League,NED,73,64,63,71,38,56,3★,3★,M,M,150,10K
Beni Baningime,67,CDM,Everton,Premier League,DRC,52,45,63,65,65,59,3★,2★,M,M,,
Anders Dreyer,67,RM,Brighton & Hove Albion,Premier League,DEN,75,65,58,72,36,59,3★,3★,H,M,,
Mattéo Guendouzi,67,CM,Arsenal,Premier League,FRA,63,60,68,66,63,65,3★,3★,M,M,,
Richie Towell,67,CM,Brighton & Hove Albion,Premier League,IRL,64,64,65,66,60,69,4★,3★,H,H,150,10K
Matthew Connolly,67,RB,Cardiff City,Premier League,ENG,56,48,57,57,70,72,3★,2★,M,H,250,10K
Joao Rodríguez,66,ST,Chelsea,Premier League,COL,82,62,64,73,40,54,4★,3★,M,L,0,0
Marcus Edwards,66,RM,Tottenham Hotspur,Premier League,ENG,73,58,60,75,35,42,3★,4★,H,M,150,10K
Rúben Vinagre,66,LWB,Wolverhampton Wanderers,Premier League,POR,89,52,63,72,54,58,2★,3★,H,M,150,10K
Ryan Inniss,66,CB,Crystal Palace,Premier League,ENG,37,33,42,39,63,78,3★,2★,M,H,0,0
Pedro Chirivella,66,CDM,Liverpool,Premier League,ESP,65,46,64,67,57,69,3★,3★,M,H,0,0
Sam McQueen,66,LB,Southampton,Premier League,ENG,70,48,61,69,64,66,3★,3★,H,M,0,0
Bright Enobakhare,66,RW,Wolverhampton Wanderers,Premier League,NIG,77,53,59,74,27,60,3★,3★,M,M,250,10K
Paul Gladon,66,ST,Wolverhampton Wanderers,Premier League,NED,49,65,52,62,27,66,4★,2★,H,M,150,10K
Claudio Gomes,66,CDM,Manchester City,Premier League,FRA,73,56,61,63,65,63,3★,2★,M,H,,
Angel Gomes,66,CAM,Manchester United,Premier League,ENG,72,61,64,70,26,36,4★,4★,M,M,150,10K
Ethan Ebanks-Landell,66,CB,Wolverhampton Wanderers,Premier League,ENG,58,48,49,53,66,72,3★,2★,M,M,0,0
Joe Mason,66,ST,Wolverhampton Wanderers,Premier League,IRL,65,64,59,67,37,62,3★,3★,M,M,0,0
Marcelo Djaló,65,CB,Fulham,Premier League,ESP,41,30,29,42,65,73,2★,2★,M,M,0,0
Uriel Antuna,65,RM,Manchester City,Premier League,MEX,78,52,60,69,31,44,3★,3★,M,M,0,0
Charlie Colkett,65,CM,Chelsea,Premier League,ENG,62,52,69,65,54,62,3★,3★,M,M,0,0
Anthony Caceres,65,CM,Manchester City,Premier League,AUS,71,60,64,63,59,68,4★,3★,M,M,0,0
Stuart O'Keefe,65,CM,Cardiff City,Premier League,ENG,60,58,59,65,62,69,3★,2★,M,H,0,0
Sam Hughes,65,CB,Leicester City,Premier League,ENG,54,33,38,46,64,67,3★,2★,M,H,,
Callum Gribbin,65,CAM,Manchester United,Premier League,ENG,69,58,65,67,35,59,3★,3★,M,M,0,0
Tahith Chong,65,LW,Manchester United,Premier League,NED,76,56,62,66,39,63,4★,4★,M,M,0,0
Luke Amos,65,CM,Tottenham Hotspur,Premier League,ENG,62,50,65,62,60,65,4★,3★,M,M,150,10K
Reiss Nelson,65,RW,Arsenal,Premier League,ENG,84,57,56,70,34,45,4★,4★,H,M,150,10K
Connor Ronan,65,CM,Wolverhampton Wanderers,Premier League,IRL,69,58,66,67,52,38,3★,3★,M,M,150,10K
Gedion Zelalem,65,CM,Arsenal,Premier League,USA,60,50,66,66,44,55,3★,3★,M,M,0,0
Callum Elder,65,LB,Leicester City,Premier League,AUS,74,34,56,61,62,67,2★,2★,H,H,0,0
Kadeem Harris,65,LM,Cardiff City,Premier League,ENG,82,50,54,70,27,54,3★,3★,H,M,150,10K
Lloyd Kelly,64,LB,Bournemouth,Premier League,ENG,78,33,50,63,61,66,3★,2★,M,H,0,0
Karlan Grant,64,ST,Huddersfield Town,Premier League,ENG,87,61,45,64,36,57,3★,3★,H,M,0,0
Jimmy Dunne,64,CB,Burnley,Premier League,IRL,51,37,46,51,64,61,2★,2★,M,H,0,0
Ethan Hamilton,64,CM,Manchester United,Premier League,SCO,58,62,63,62,57,61,3★,3★,M,H,,
Joshua Bohui,64,ST,Manchester United,Premier League,ENG,77,61,49,65,22,64,3★,3★,M,M,,
Abdelhamid Sabiri,64,LM,Huddersfield Town,Premier League,MOR,72,56,53,73,36,62,4★,3★,M,M,,
Ro-Shaun Williams,64,CB,Manchester United,Premier League,ENG,73,33,47,52,63,60,3★,2★,M,M,,
Edward Nketiah,64,ST,Arsenal,Premier League,ENG,84,62,47,65,20,54,3★,3★,M,M,150,10K
Morgan Gibbs-White,64,CM,Wolverhampton Wanderers,Premier League,ENG,64,55,60,69,49,54,2★,3★,M,M,,
Chidiebere Nwakali,64,CM,Manchester City,Premier League,NIG,75,60,60,65,61,69,3★,3★,H,H,,
Ben Stevenson,64,CM,Wolverhampton Wanderers,Premier League,ENG,70,60,64,64,54,51,4★,3★,M,M,,
Stephen Humphrys,63,ST,Fulham,Premier League,ENG,70,59,49,60,28,67,3★,2★,M,M,0,0
Regan Poole,63,CDM,Manchester United,Premier League,WAL,67,31,51,59,61,70,3★,2★,M,M,,
Víctor Fernández,63,LM,Newcastle United,Premier League,ESP,73,60,56,68,29,40,3★,3★,H,M,,
Cohen Bramall,63,LB,Arsenal,Premier League,ENG,88,45,56,63,56,59,2★,2★,H,M,,
Ethan Ampadu,63,CB,Chelsea,Premier League,WAL,58,30,53,57,63,62,3★,2★,M,M,,
Aiden O'Neill,63,CM,Burnley,Premier League,AUS,58,54,61,65,55,61,2★,3★,M,M,0,0
Luca de la Torre,63,CAM,Fulham,Premier League,USA,64,49,59,65,38,40,2★,3★,M,L,,
Ben Whitfield,63,CAM,Bournemouth,Premier League,ENG,71,56,60,67,30,46,3★,3★,H,M,0,0
Sean Longstaff,63,CM,Newcastle United,Premier League,ENG,61,61,61,60,53,53,3★,2★,H,M,,
Dwight McNeil,62,LM,Burnley,Premier League,ENG,71,57,55,64,31,58,2★,2★,H,M,0,0
Michael Obafemi,62,ST,Southampton,Premier League,IRL,71,60,48,60,23,46,3★,2★,M,L,,
Rhian Brewster,62,ST,Liverpool,Premier League,ENG,77,60,50,62,19,53,3★,3★,H,M,0,0
John Kitolano,62,LWB,Wolverhampton Wanderers,Premier League,NOR,79,32,50,59,55,61,3★,2★,H,M,150,10K
Cameron Humphreys-Grant,62,CB,Manchester City,Premier League,ENG,66,32,48,50,60,67,2★,2★,M,M,150,10K
Matty Willock,62,CM,Manchester United,Premier League,ENG,70,56,59,65,48,65,3★,2★,M,M,0,0
Alfie Jones,62,CB,Southampton,Premier League,ENG,45,29,35,42,64,62,3★,2★,M,M,0,0
Randell Williams,62,LW,Watford,Premier League,ENG,81,54,56,64,29,52,3★,2★,H,M,0,0
Eric García,62,CB,Manchester City,Premier League,ESP,56,34,48,55,62,59,3★,2★,M,H,,
Fraser Hornby,62,ST,Everton,Premier League,SCO,56,61,48,61,23,62,2★,2★,M,M,0,0
Nathan Holland,62,LM,West Ham United,Premier League,ENG,83,51,54,65,26,45,4★,3★,H,M,150,10K
Morgan Feeney,62,CB,Everton,Premier League,ENG,46,32,33,39,64,64,2★,2★,L,H,,
Anthony Georgiou,62,LM,Tottenham Hotspur,Premier League,CYP,71,45,59,64,54,52,2★,3★,M,M,150,10K
Dan Agyei,62,ST,Burnley,Premier League,ENG,75,57,48,60,29,67,3★,2★,H,M,150,10K
Jon Gorenc Stanković,62,CB,Huddersfield Town,Premier League,SVN,43,40,50,53,60,63,3★,2★,M,M,150,10K
Moses Makasi,62,CM,West Ham United,Premier League,ENG,70,53,58,61,57,71,3★,2★,M,M,150,5.1K
Jake Flannigan,61,CM,Southampton,Premier League,ENG,59,55,64,64,42,58,3★,3★,M,M,150,10K
Adetayo Edun,61,CM,Fulham,Premier League,ENG,73,41,57,65,58,53,3★,2★,M,M,0,0
Jerome Sinclair,61,ST,Watford,Premier League,ENG,74,60,52,64,38,61,4★,2★,M,M,0,0
Connor Randall,61,RB,Liverpool,Premier League,ENG,65,49,60,61,59,65,4★,2★,M,M,0,0
Rafael Camacho,61,CAM,Liverpool,Premier League,POR,68,56,57,64,42,44,3★,3★,M,M,,
Curtis Jones,61,CM,Liverpool,Premier League,ENG,63,56,60,66,46,55,3★,3★,H,M,,
Oliver Skipp,61,CDM,Tottenham Hotspur,Premier League,ENG,65,42,56,56,57,63,3★,2★,M,H,,
Nathaniel Phillips,61,CB,Liverpool,Premier League,ENG,52,29,43,39,60,65,3★,2★,M,H,,
Leo Østigård,61,CB,Brighton & Hove Albion,Premier League,NOR,67,36,39,48,59,65,3★,2★,M,H,,
Mihai Dobre,61,RM,Bournemouth,Premier League,ROM,76,47,50,66,37,59,3★,3★,H,M,,
Joseph Willock,61,CM,Arsenal,Premier League,ENG,71,44,58,63,53,61,3★,3★,M,M,,
Yan Valery,61,RB,Southampton,Premier League,FRA,72,34,42,60,63,58,3★,2★,M,M,150,10K
Luke Bolton,61,RM,Manchester City,Premier League,ENG,80,50,57,60,55,60,3★,3★,H,H,,
Ben White,61,CB,Brighton & Hove Albion,Premier League,ENG,64,25,48,43,59,66,4★,2★,M,H,150,10K
Jack Simpson,61,CB,Bournemouth,Premier League,ENG,44,33,37,42,62,60,2★,2★,M,M,,
Matt Butcher,61,CM,Bournemouth,Premier League,ENG,52,49,57,61,54,63,3★,2★,M,H,150,10K
Shayon Harrison,61,ST,Tottenham Hotspur,Premier League,ENG,74,58,46,62,21,60,3★,3★,H,M,150,10K
Callum Roberts,61,RM,Newcastle United,Premier League,ENG,71,60,57,63,28,40,3★,3★,M,M,,
Emile Smith Rowe,60,LW,Arsenal,Premier League,ENG,76,60,53,63,21,44,3★,4★,M,M,,
Sam Surridge,60,ST,Bournemouth,Premier League,ENG,60,58,43,57,26,68,3★,2★,H,M,0,0
Iké Ugbo,60,ST,Chelsea,Premier League,ENG,76,55,45,57,24,58,3★,2★,H,M,0,0
Josef Yarney,60,CB,Newcastle United,Premier League,ENG,49,29,42,47,59,61,2★,2★,M,H,0,0
Viktor Gyökeres,60,ST,Brighton & Hove Albion,Premier League,SWE,69,57,49,59,21,59,3★,2★,M,M,,
Luke Charman,60,ST,Newcastle United,Premier League,ENG,64,60,44,54,24,65,3★,2★,H,M,,
Bobby Adekanye,60,RW,Liverpool,Premier League,NED,74,56,52,64,30,58,2★,3★,M,M,,
Darnell Johnson,60,RB,Leicester City,Premier League,ENG,62,35,48,57,61,66,2★,2★,M,H,150,10K
Callum Slattery,60,CAM,Southampton,Premier League,ENG,52,54,57,60,43,64,3★,2★,M,M,,
Jamie Sterry,60,RB,Newcastle United,Premier League,ENG,64,36,50,60,60,65,3★,2★,H,M,150,10K
Daniel Barlaser,60,CM,Newcastle United,Premier League,ENG,55,55,62,62,46,44,3★,3★,M,M,150,10K
Kyle Taylor,59,CAM,Bournemouth,Premier League,ENG,66,51,59,62,37,49,3★,2★,M,M,,
Nya Kirby,59,CAM,Crystal Palace,Premier League,ENG,71,42,56,64,36,52,3★,3★,M,M,150,10K
Daniel James,59,LM,Manchester United,Premier League,WAL,78,56,52,63,27,52,3★,2★,H,M,0,0
Aaron Collins,59,ST,Wolverhampton Wanderers,Premier League,WAL,80,56,41,59,27,63,3★,2★,H,M,0,0
Matty Daly,59,CM,Huddersfield Town,Premier League,ENG,56,54,60,62,48,48,3★,2★,M,M,,
Nnamdi Ofoborh,59,CDM,Bournemouth,Premier League,NIG,61,43,52,55,59,63,3★,2★,M,M,,
Matthew Virtue-Thick,59,CDM,Liverpool,Premier League,ENG,69,48,55,59,55,56,3★,2★,M,M,,
Ben Wilmot,59,CB,Watford,Premier League,ENG,51,29,37,29,58,66,3★,2★,M,M,150,10K
Jayson Molumby,59,CM,Brighton & Hove Albion,Premier League,IRL,46,48,56,59,57,59,3★,2★,M,M,,
Aron Davies,59,CB,Fulham,Premier League,WAL,45,26,39,43,60,59,3★,2★,M,M,150,5.1K
Michael Folivi,59,ST,Watford,Premier League,ENG,67,59,39,61,23,52,3★,2★,H,L,150,10K
Ryan Giles,58,LM,Wolverhampton Wanderers,Premier League,ENG,87,47,52,60,45,49,3★,2★,H,M,,
Domingos Quina,58,CM,Watford,Premier League,POR,68,50,58,68,31,43,3★,3★,M,M,150,10K
Dan Kemp,58,RM,West Ham United,Premier League,ENG,70,47,50,64,27,36,3★,2★,H,M,150,10K
Ibrahim Meite,58,ST,Cardiff City,Premier League,ENG,64,58,37,55,20,50,2★,2★,H,L,150,10K
Matt Worthington,58,CM,Bournemouth,Premier League,ENG,54,41,55,58,55,63,3★,2★,M,H,150,10K
James Tilley,58,CAM,Brighton & Hove Albion,Premier League,ENG,68,57,54,63,16,43,2★,3★,M,M,,
Sherwin Seedorf,57,RM,Wolverhampton Wanderers,Premier League,NED,90,47,44,63,26,49,4★,2★,H,M,0,0
Aaron Bolger,57,CM,Cardiff City,Premier League,IRL,67,42,58,63,39,41,3★,2★,M,M,0,0
Ben Hall,57,CB,Brighton & Hove Albion,Premier League,NIR,51,32,34,48,57,65,3★,2★,M,M,0,0
Steven Sessegnon,57,RB,Fulham,Premier League,ENG,71,33,46,55,55,53,3★,2★,M,M,150,10K
Josh Pask,57,CB,West Ham United,Premier League,ENG,62,26,38,39,55,63,2★,2★,M,M,,
Stefan O'Connor,57,CB,Newcastle United,Premier League,ENG,51,30,39,43,55,64,2★,2★,M,M,,
Mark Harris,56,ST,Cardiff City,Premier League,WAL,66,44,58,56,38,60,2★,2★,M,L,0,0
Jordi Osei-Tutu,56,RB,Arsenal,Premier League,ENG,69,36,43,52,53,61,3★,2★,M,M,,
Ntumba Massanka,56,ST,Burnley,Premier League,ENG,73,53,42,53,23,58,2★,2★,M,L,,
Vashon Neufville,56,LB,West Ham United,Premier League,ENG,75,28,44,57,51,58,3★,2★,H,M,,
Tyrone Duffus,56,CM,Cardiff City,Premier League,ENG,59,46,57,59,44,54,2★,3★,M,M,,
Levi Lumeka,55,LM,Crystal Palace,Premier League,ENG,77,50,48,59,21,45,3★,2★,M,L,,
Rarmani Edmonds-Green,55,CB,Huddersfield Town,Premier League,ENG,57,24,32,39,56,57,3★,2★,M,M,150,10K
Elijah Adebayo,54,ST,Fulham,Premier League,ENG,69,51,38,43,28,65,3★,2★,M,L,0,0
Lewis O'Brien,54,RM,Huddersfield Town,Premier League,ENG,59,42,53,60,33,37,3★,2★,M,M,,
Jamie Veale,54,CM,Cardiff City,Premier League,WAL,63,52,57,54,38,51,3★,2★,H,M,150,10K
Andrew Eleftheriou,51,RM,Watford,Premier League,ENG,66,36,45,53,50,57,2★,2★,M,M,150,5.1K
